市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
个股,2026-07-23,601319,中国人保,42,1,7.59,7.45,-1.84,1,False,92.25,106.27,5.41,7.88,14.55,1.05,33.49,全样本(基准)
个股,2026-07-23,601328,交通银行,25,1,6.95,7.04,1.29,1,False,70.39,89.82,39.9,6.37,85.54,0.53,48.82,全样本(基准)
个股,2026-07-23,601336,新华保险,80,1,65.72,63.12,-3.96,1,False,85.41,101.16,9.2,5.56,5.45,1.66,53.49,全样本(基准)
个股,2026-07-23,601398,工商银行,1,1,7.68,7.75,0.91,1,False,67.02,82.87,52.0,7.37,90.55,0.69,57.49,全样本(基准)
个股,2026-07-23,601601,中国太保,47,1,32.81,31.95,-2.62,1,False,107.87,91.29,3.33,5.85,1.88,0.99,13.49,全样本(基准)
个股,2026-07-23,601628,中国人寿,13,1,41.73,40.31,-3.4,1,False,98.09,111.77,24.97,8.15,8.14,1.97,39.61,全样本(基准)
个股,2026-07-23,601658,邮储银行,26,1,5.11,5.12,0.2,1,False,56.75,96.84,24.84,6.98,68.45,0.59,13.59,全样本(基准)
个股,2026-07-23,601668,中国建筑,85,1,4.7,4.7,0.0,1,False,91.43,103.95,36.68,5.12,62.12,0.39,1.25,全样本(基准)
个股,2026-07-23,601688,华泰证券,90,1,20.85,20.4,-2.16,1,False,110.59,68.15,24.06,10.73,32.1,1.06,45.35,全样本(基准)
个股,2026-07-23,601728,中国电信,29,1,6.04,6.16,1.99,1,False,57.99,64.99,29.57,17.45,48.87,1.18,46.43,全样本(基准)
个股,2026-07-23,601816,京沪高铁,57,1,5.04,5.02,-0.4,1,False,98.44,88.26,56.01,18.47,4.75,1.17,6.27,全样本(基准)
个股,2026-07-23,601818,光大银行,92,1,3.16,3.15,-0.32,1,False,68.7,88.92,23.67,4.94,44.39,0.37,2.6,全样本(基准)
个股,2026-07-23,601857,中国石油,5,1,10.88,11.03,1.38,1,False,88.42,91.24,25.73,12.59,55.47,1.23,88.82,全样本(基准)
个股,2026-07-23,601869,长飞光纤,50,1,356.12,331.65,-6.87,1,False,18.44,-14.78,64.62,254.79,94.54,20.72,96.29,全样本(基准)
个股,2026-07-23,601898,中煤能源,88,1,14.27,13.67,-4.2,1,False,103.67,29.43,16.85,10.65,53.98,1.15,90.31,全样本(基准)
个股,2026-07-23,601899,紫金矿业,17,1,33.06,31.51,-4.69,1,False,97.9,88.54,14.09,14.25,15.37,4.46,83.61,全样本(基准)
个股,2026-07-23,601919,中远海控,63,1,15.27,15.32,0.33,1,False,101.14,109.45,33.84,9.31,58.51,0.99,29.93,全样本(基准)
个股,2026-07-23,601939,建设银行,2,1,10.24,10.26,0.2,1,False,64.56,72.84,84.43,7.84,96.53,0.76,69.64,全样本(基准)
个股,2026-07-23,601985,中国核电,91,1,9.09,8.9,-2.09,1,False,94.73,64.64,84.22,22.71,89.3,1.56,36.96,全样本(基准)
个股,2026-07-23,601988,中国银行,6,1,5.97,6.01,0.67,1,False,54.57,69.19,77.5,7.84,98.31,0.7,82.51,全样本(基准)
个股,2026-07-23,601998,中信银行,34,1,7.55,7.61,0.79,1,False,85.42,70.29,29.49,5.9,64.77,0.57,55.71,全样本(基准)
个股,2026-07-23,603259,药明康德,37,1,127.45,125.0,-1.92,1,False,53.67,86.98,87.56,18.89,20.01,4.52,33.55,全样本(基准)
个股,2026-07-23,603288,海天味业,74,1,36.65,35.85,-2.18,1,False,78.35,96.89,42.05,29.46,2.27,5.1,2.99,全样本(基准)
个股,2026-07-23,603986,兆易创新,46,1,451.96,457.0,1.12,1,False,26.16,-0.92,56.33,110.33,60.43,12.55,79.37,全样本(基准)
个股,2026-07-23,603993,洛阳钼业,32,1,20.03,19.04,-4.94,1,False,99.23,51.89,19.24,17.74,27.95,4.82,95.28,全样本(基准)
个股,2026-07-23,688008,澜起科技,53,1,225.5,233.66,3.62,1,False,47.43,7.23,67.12,107.61,82.34,13.2,86.11,全样本(基准)
个股,2026-07-23,688012,中微公司,40,1,375.2,388.5,3.54,1,False,42.08,41.69,76.7,131.7,71.69,14.78,78.1,全样本(基准)
个股,2026-07-23,688041,海光信息,20,1,312.0,314.28,0.73,1,False,25.34,37.1,71.63,266.02,95.18,30.86,96.13,全样本(基准)
个股,2026-07-23,688072,拓荆科技,72,1,743.0,791.0,6.46,1,False,37.15,56.37,78.34,131.35,83.06,29.8,98.16,全样本(基准)
个股,2026-07-23,688235,百济神州,35,1,272.45,271.0,-0.53,1,False,75.13,86.0,46.97,132.77,95.61,12.71,78.92,全样本(基准)
个股,2026-07-23,688256,寒武纪,19,1,1249.0,1225.0,-1.92,1,False,31.71,1.11,76.26,288.83,84.36,60.97,94.79,全样本(基准)
个股,2026-07-23,688347,华虹宏力,27,1,341.0,329.9,-3.26,1,False,52.25,66.2,86.22,1200.96,85.5,13.1,99.02,全样本(基准)
个股,2026-07-23,688498,源杰科技,97,1,1445.0,1390.0,-3.81,1,False,29.12,43.53,77.04,505.28,68.09,71.26,96.77,全样本(基准)
个股,2026-07-23,688795,摩尔线程-U,52,1,610.36,600.01,-1.7,1,False,10.81,10.04,40.05,-334.0,37.5,24.9,35.53,全样本(基准)
个股,2026-07-23,688802,沐曦股份-U,44,1,813.78,821.61,0.96,1,False,10.13,42.53,86.06,-496.5,9.72,24.86,84.03,全样本(基准)
个股,2026-07-23,688808,联讯仪器,83,1,1938.0,1955.0,0.88,1,False,58.5,16.1,,728.22,49.18,193.91,49.18,全样本(基准)
个股,2026-07-23,688820,盛合晶微,55,1,140.97,140.89,-0.06,1,False,24.61,1.91,,266.44,21.88,18.16,21.88,全样本(基准)
个股,2026-07-23,688981,中芯国际,11,1,145.09,143.73,-0.94,1,False,24.59,42.83,78.59,246.17,96.16,8.29,95.27,全样本(基准)
个股,2026-07-23,000001,平安银行,73,2,11.08,11.11,0.27,2,False,88.37,80.76,46.02,4.99,27.23,0.46,5.01,全样本(基准)
个股,2026-07-23,000333,美的集团,23,2,84.77,84.13,-0.75,2,False,87.41,97.84,85.64,14.62,52.58,2.78,41.54,全样本(基准)
个股,2026-07-23,000338,潍柴动力,60,2,27.99,28.45,1.64,2,False,100.04,11.28,65.5,21.39,94.75,2.54,86.17,全样本(基准)
个股,2026-07-23,000651,格力电器,67,2,40.57,40.39,-0.44,2,False,87.06,94.4,79.73,7.79,29.2,1.49,5.45,全样本(基准)
个股,2026-07-23,000725,京东方Ａ,68,2,6.06,5.97,-1.49,2,False,23.07,22.44,59.78,37.73,57.69,1.65,74.27,全样本(基准)
个股,2026-07-23,000776,广发证券,98,2,22.82,22.82,0.0,0,True,94.88,59.36,63.68,11.41,8.0,1.3,77.88,全样本(基准)
个股,2026-07-23,000858,五 粮 液,51,2,74.84,73.9,-1.26,2,False,81.53,44.93,8.1,23.05,33.69,2.27,0.96,全样本(基准)
个股,2026-07-23,001399,惠科股份,89,2,25.79,26.21,1.63,2,False,25.29,-0.6,,49.73,15.0,7.13,15.0,全样本(基准)
