排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
27,688041,海光信息,83.01,-1.06,15.03,83.02,-4.13,31.98,246.2,-0.41,182.14,64.47,22.55,77.06,261.602,300.023,0.0,-5.89,0.51,0.46,25.57,64.47,77.06,半导体
28,300502,新易盛,5.25,9.25,27.48,11.46,14.9,40.73,384.76,-0.5,40.89,32.07,22.08,90.17,416.216,480.024,0.0,-7.56,0.71,0.52,101.15,44.71,82.89,通信设备
29,601998,中信银行,71.43,108.22,97.55,82.76,111.9,82.25,8.78,-0.9,6.81,90.69,0.65,74.87,8.213,7.679,1.0,6.9,0.81,0.86,4.77,97.6,96.28,银行Ⅱ
30,002371,北方华创,6.6,0.22,37.96,14.22,10.38,50.82,655.84,-1.67,83.73,42.0,11.74,77.58,719.654,741.075,0.0,-8.87,0.87,0.56,36.57,72.48,88.26,半导体
31,603259,药明康德,40.06,73.33,84.48,21.76,81.16,85.29,156.63,0.41,21.67,30.58,5.63,49.16,160.052,133.731,1.0,-2.14,0.82,0.49,46.91,51.16,76.03,医疗服务
32,600030,中信证券,80.84,22.99,79.94,74.81,19.76,80.67,27.86,1.42,10.98,0.33,1.47,46.37,27.596,27.94,0.0,0.96,1.05,1.06,32.9,0.58,66.28,证券Ⅱ
33,002475,立讯精密,79.61,27.56,24.74,91.7,16.66,33.7,56.17,-1.59,24.42,28.03,4.67,31.16,56.187,60.665,0.0,-0.03,0.96,0.74,51.54,48.43,47.02,消费电子
34,688347,华虹宏力,76.45,0.09,39.6,81.26,-2.4,48.63,245.28,0.86,607.91,68.14,9.01,93.44,251.336,285.03,0.0,-2.41,0.61,0.39,21.87,68.14,93.44,半导体
35,688235,百济神州,15.43,38.95,58.61,7.87,63.07,51.78,269.08,0.32,96.93,89.0,11.71,74.24,284.42,263.747,1.0,-5.39,0.98,0.58,8.74,89.0,74.24,化学制药
36,603993,洛阳钼业,17.74,52.87,8.05,28.02,61.27,11.57,18.61,0.81,14.31,12.21,4.44,89.69,19.03,18.851,1.0,-2.21,0.6,0.5,22.52,21.24,86.36,工业金属
37,601166,兴业银行,49.92,44.16,38.97,42.08,46.87,33.91,17.93,0.17,5.03,38.19,0.45,5.27,18.033,17.875,1.0,-0.57,0.66,0.9,16.89,60.0,9.17,银行Ⅱ
38,601319,中国人保,96.52,80.4,36.7,100.88,56.06,16.99,8.04,1.52,6.25,0.21,1.05,33.7,7.181,7.103,1.0,11.96,0.9,1.63,10.19,0.33,52.73,保险Ⅱ
39,600183,生益科技,69.69,64.24,59.87,78.12,46.57,60.65,143.19,-1.23,66.96,97.01,18.8,98.24,138.42,143.574,0.0,3.45,0.71,0.87,90.63,94.79,96.94,元件
40,002384,东山精密,-4.42,11.82,46.36,7.58,21.77,55.73,179.16,-2.33,91.54,88.69,13.47,95.77,196.71,218.191,0.0,-8.92,0.83,0.55,79.44,80.41,92.64,元件
