市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
HK,2026-07-31,009988,阿里巴巴-W,6,1,117.0,126.0,7.69,1,False,51.46,72.88,8.33,19.12,,1.85,,全样本(基准)
HK,2026-07-31,009992,泡泡玛特,58,1,162.6,160.4,-1.35,1,False,28.06,36.22,3.13,15.31,,8.85,,全样本(基准)
HK,2026-07-31,009999,网易,22,1,207.8,205.8,-0.96,1,False,94.74,58.02,49.67,17.41,,3.55,,全样本(基准)
HK,2026-07-31,000001,长和,49,2,73.6,73.7,0.14,2,False,91.12,99.94,89.31,23.81,,0.5,,全样本(基准)
HK,2026-07-31,000002,中电控股,63,2,78.1,76.45,-2.11,2,False,92.15,110.2,91.25,18.85,,1.83,,全样本(基准)
HK,2026-07-31,000003,香港中华煤气,93,2,7.03,6.83,-2.84,2,False,68.99,82.84,20.86,23.06,,2.21,,全样本(基准)
HK,2026-07-31,000005,汇丰控股,2,2,168.2,162.1,-3.63,2,False,97.84,103.66,98.71,17.55,,1.87,,全样本(基准)
HK,2026-07-31,000006,电能实业,97,2,59.05,58.2,-1.44,2,False,66.72,80.96,47.97,20.18,,1.39,,全样本(基准)
HK,2026-07-31,000012,恒基地产,91,2,28.4,28.26,-0.49,2,False,78.97,52.62,11.26,24.32,,0.43,,全样本(基准)
HK,2026-07-31,000016,新鸿基地产,40,2,123.2,121.7,-1.22,2,False,67.04,60.8,41.26,16.23,,0.57,,全样本(基准)
HK,2026-07-31,000027,银河娱乐,84,2,34.2,33.6,-1.75,2,False,103.95,105.17,7.36,14.03,,1.8,,全样本(基准)
HK,2026-07-31,000066,港铁公司,61,2,33.12,32.2,-2.78,2,False,84.71,92.99,38.27,14.05,,1.07,,全样本(基准)
HK,2026-07-31,000175,吉利汽车,59,2,19.8,19.43,-1.87,2,False,82.83,82.88,32.45,12.39,,1.98,,全样本(基准)
HK,2026-07-31,000267,中信股份,39,2,12.37,12.02,-2.83,2,False,96.87,48.58,33.54,5.53,,0.42,,全样本(基准)
HK,2026-07-31,000300,美的集团,19,2,99.35,97.55,-1.81,2,False,93.56,109.95,72.59,15.29,,2.87,,全样本(基准)
HK,2026-07-31,000358,江西铜业股份,100,2,35.18,38.08,8.24,2,False,56.14,44.84,6.01,13.19,,1.28,,全样本(基准)
HK,2026-07-31,000386,中国石油化工股份,27,2,4.43,4.33,-2.26,2,False,88.67,96.06,3.72,13.12,,0.57,,全样本(基准)
HK,2026-07-31,000388,香港交易所,29,2,408.6,414.6,1.47,2,False,97.23,100.55,28.5,27.46,,9.39,,全样本(基准)
HK,2026-07-31,000669,创科实业,52,2,132.0,143.8,8.94,2,False,68.55,80.1,98.06,25.87,,4.46,,全样本(基准)
HK,2026-07-31,000688,中国海外发展,85,2,13.51,13.2,-2.29,2,False,45.46,24.42,35.14,10.52,,0.34,,全样本(基准)
HK,2026-07-31,000700,腾讯控股,1,2,475.2,492.2,3.58,2,False,93.92,75.45,2.21,16.43,,3.39,,全样本(基准)
HK,2026-07-31,000728,中国电信,33,2,4.74,4.59,-3.16,2,False,69.0,44.34,17.04,12.23,,0.82,,全样本(基准)
HK,2026-07-31,000762,中国联通,62,2,6.72,6.59,-1.93,2,False,56.04,34.16,7.31,9.28,,0.5,,全样本(基准)
HK,2026-07-31,000788,中国铁塔,72,2,10.03,9.96,-0.7,2,False,99.66,93.04,8.6,13.71,,0.78,,全样本(基准)
HK,2026-07-31,000857,中国石油股份,8,2,9.94,9.49,-4.53,2,False,57.01,64.6,34.14,10.25,,0.99,,全样本(基准)
HK,2026-07-31,000883,中国海洋石油,12,2,23.82,22.96,-3.61,2,False,57.94,56.22,20.49,8.09,,1.19,,全样本(基准)
HK,2026-07-31,000939,建设银行,5,2,9.21,8.8,-4.45,2,False,92.51,89.2,78.46,6.3,,0.6,,全样本(基准)
