排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
50,00001,长和,41.54,26.16,78.23,74.89,57.34,86.1,68.85,-1.5,6.98,,0.46,,69.818,69.958,0.0,-1.39,1.29,1.09,4.68,,,
51,01339,中国人民保险集团,17.75,84.15,33.58,35.38,99.2,18.22,5.9,-0.76,4.01,,0.66,,5.603,5.289,1.0,5.3,0.72,1.1,2.12,,,
52,02611,国泰海通,19.47,45.56,34.02,26.59,61.87,34.16,14.75,-1.93,7.04,,0.68,,15.073,14.898,1.0,-2.14,0.83,0.92,1.51,,,
53,02378,保诚,6.06,8.24,16.33,9.74,31.04,28.01,103.7,-0.29,9.11,,1.68,,108.065,108.863,0.0,-4.04,0.77,0.53,0.07,,,
54,01919,中远海控,33.19,66.2,76.34,41.83,78.34,78.76,16.44,-1.08,8.27,,0.93,,17.011,15.41,1.0,-3.36,1.13,1.03,3.69,,,
55,06951,三环集团,83.98,74.67,,74.48,56.81,,124.4,4.01,65.94,,9.14,,114.12,,,9.01,2.27,1.64,3.68,,,
56,09888,百度集团-W,-2.13,14.03,-8.89,-0.74,27.9,-0.54,89.1,-0.06,-66.42,,0.78,,92.98,102.573,0.0,-4.17,0.48,0.84,10.38,,,
57,00669,创科实业,18.22,20.78,71.47,22.81,46.84,88.67,127.0,-1.32,22.79,,3.98,,135.775,132.835,1.0,-6.46,1.06,0.98,7.39,,,
58,01378,中国宏桥,33.52,59.35,-5.48,71.84,82.92,-5.74,22.5,-4.01,7.05,,1.44,,23.227,22.732,1.0,-3.13,1.48,1.18,8.9,,,
59,02714,牧原股份,57.04,99.0,37.69,69.64,112.4,20.43,38.08,0.37,-157.22,,2.41,,35.941,33.378,1.0,5.95,0.44,0.55,0.82,,,
60,01347,华虹宏力,15.5,-3.52,19.26,17.03,-6.21,37.74,111.7,-1.15,268.48,,3.47,,117.13,146.032,0.0,-4.64,0.63,0.51,18.11,,,
61,01109,华润置地,33.25,16.64,9.69,34.28,43.66,24.85,29.16,-2.67,7.86,,0.62,,32.111,32.461,0.0,-9.19,1.31,1.41,9.99,,,
62,00066,港铁公司,96.44,76.5,29.28,118.09,80.66,27.73,32.94,-1.85,8.98,,1.0,,32.903,32.272,1.0,0.11,1.22,1.0,1.9,,,
63,09992,泡泡玛特,18.16,44.73,3.22,14.99,47.0,3.82,153.0,0.2,13.65,,7.67,,154.03,156.743,0.0,-0.67,0.98,0.46,7.13,,,
64,02020,安踏体育,-7.65,22.27,38.39,-5.41,57.3,51.93,72.45,0.56,11.1,,2.46,,74.982,74.218,1.0,-3.38,0.92,0.97,5.2,,,
