市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,688008,澜起科技,64,1,183.21,189.55,3.31,1,-1.94,3.07,52.37,87.62,61.89,10.75,68.79,,,,全样本(基准)
个股,2026-07-19,000651,格力电器,65,1,39.95,40.58,1.43,1,94.77,72.93,72.43,7.67,24.82,1.47,4.15,,,,全样本(基准)
个股,2026-07-19,601919,中远海控,66,1,14.54,14.93,2.53,1,87.08,84.04,17.43,8.86,56.49,0.94,22.89,,,,全样本(基准)
个股,2026-07-19,600309,万华化学,67,1,70.04,71.99,2.63,1,39.53,21.91,17.36,16.66,57.03,1.97,6.33,,,,全样本(基准)
个股,2026-07-19,002938,鹏鼎控股,68,1,93.89,90.89,-3.35,1,58.29,26.83,71.04,58.61,98.0,6.28,96.15,,,,全样本(基准)
个股,2026-07-19,000338,潍柴动力,69,1,24.23,23.92,-1.43,1,-0.29,-8.87,53.19,18.8,85.8,2.23,70.3,,,,全样本(基准)
个股,2026-07-19,603288,海天味业,70,1,36.0,37.0,2.63,1,98.5,78.85,37.02,28.94,1.98,5.01,2.08,,,,全样本(基准)
个股,2026-07-19,300274,阳光电源,71,1,101.61,101.77,0.01,1,10.68,-12.66,7.24,17.66,30.71,4.33,40.27,,,,全样本(基准)
个股,2026-07-19,301666,大普微-UW,72,1,482.28,462.0,-4.36,1,5.92,-8.68,,16206.09,22.22,262.3,22.22,,,,全样本(基准)
个股,2026-07-19,000001,平安银行,73,1,10.78,10.98,1.71,1,83.49,48.63,31.79,4.86,20.86,0.45,2.66,,,,全样本(基准)
个股,2026-07-19,002142,宁波银行,74,1,31.64,32.4,2.25,1,96.26,68.11,67.0,6.94,30.61,0.9,27.33,,,,全样本(基准)
个股,2026-07-19,600919,江苏银行,75,1,11.31,11.51,1.62,1,62.57,44.08,80.88,5.88,76.29,0.79,83.1,,,,全样本(基准)
个股,2026-07-19,688498,源杰科技,76,1,1656.0,1403.42,-15.4,1,57.54,61.19,87.08,579.06,76.16,81.66,98.26,,,,全样本(基准)
